municipality_code,municipality_name,taxa_crescimento_efetivo,taxa_bruta_natalidade,prop_pop_65_mais,prop_ensino_secundario,prop_nacionalidade_estrangeira,densidade_populacional,empresas_volume_negocios,percentagem_poder_compra,coeficiente_gini,disparidade_ganho_mensal,taxa_desemprego,prop_risco_pobreza,prop_agregados_unipessoais,prop_edificios_fora_urbano,prop_mais_20min_escola,prop_mais_30min_hospital,duracao_pendulares,acessos_internet_banda_larga,valor_mediano_vendas_m2,racio_vendas_estrangeiros,taxa_esforco_arrendamento,prop_alojamentos_arrendados,prop_alojamentos_sobrelotados,prop_habitacao_social,prop_alojamentos_locais,indice_envelhecimento_edificios,prop_necessidade_reparacao,prop_reabilitacao_edificado,prop_alojamentos_vagos,prop_vagos_bom_estado,prop_alojamentos_nao_classicos,certificacao_energetica_cf,consumo_energia_eletrica,emissoes_gee_edificios,prop_sem_aquecimento,prop_ar_condicionado,emissoes_gee_transportes,prop_modo_pedonal,prop_transporte_coletivo,risco_incendio_rural,risco_inundacao,risco_galgamentos_costeiros,risco_ondas_calor,risco_ondas_frio,risco_nevao,risco_seca,risco_sismo,risco_movimento_massa,risco_tsunami
0208,Ferreira do Alentejo,-0.13,7.5,29.13,32.35,0.299,12.2,390708.5,0.057,41.7,5,7.53,23.70934256,28.99,14.7,56.51,11,17.05,39.51,539,1,29.06763036,0.0082,10.2498398462524,0,5.53,2388.2,6.48,0,21.2,78.72531,0.01,89.18918919,1448.6,2.08,16.69,37.12363869,23.87,26.8,17.2,21.211,0,0,72.129,66.667,0,79.33,43.1,0.056,0.257
0209,Mértola,-1.16,4.4,36.8,29.02,0.052,4.7,90521.22,0.041,37.3,1,6.67,22.6221374,33.97,52.1,79.24,88,16.68,40.51,500,1,31.83692669,0.0837,11.5157821713492,0.539052644,4.21,1727.6,11.13,36.4,21.6,67.16578,0.05,78.84615385,1688,1.74,19.7,34.40860215,5.65,25.1,13,31.123,0,0,57.993,33.848,0,100,33.259,1.09,0.2
0210,Moura,0.08,8.9,26.23,32.78,0.034,13.9,164195.6,0.096,40,3.2,16.51,23.361426260000002,27.29,11.7,51.19,40,15.15,38.08,535,1,27.01039501,0.0445,12.2010920730559,0.45045045,1.66,3086.4,11.92,57.1,14.4,67.27029,2.01,87.06896552,1583.9,2.72,12.75,49.72698174,11.78,35,7.9,28.424,0,0,100,33.333,0,100,37.101,1.099,0
0211,Odemira,2.22,9,22.65,37.55,0.687,19.7,197538,0.241,43.3,1.3,5.11,33.04366812,29.22,54.8,85.06,99,17.32,33.77,1379,1.141099855,44.86490872,0.0209,20.4809583407831,0.067805804,23.07,1005,13.53,33.3,17.9,60.96392,1.43,61.00746269,1216,7.21,34.64,6.052208117,20.24,22.9,20.3,38.36,0,0.504,43.984,53.247,0,76.333,58.037,4.341,1.44
0212,Ourique,-0.92,5.6,34.41,31.62,0.125,7.2,127872.8,0.036,40.9,2.8,7.13,19.83877996,32.89,36.4,67.62,100,15.96,40.09,601,1,30.71244896,0.0833,9.53477660064486,0.966628308,1.82,2658,10.54,33.3,9.6,60.97561,0,69.23076923,1629.1,1.28,21.65,22.1096269,20.9,27.3,11.3,31.485,0,0,62.471,65.859,0,92.671,36.538,1.883,0
0213,Serpa,-0.42,6.6,28.28,33.07,0.097,12.4,169492.4,0.098,40.6,4.2,10.83,23.89001692,26.69,18.1,67.57,1,16.39,36.78,677,1,32.03786982,0.0141,10.4232804232804,0,2.28,2473.3,8.67,36.7,13.1,76.95113,0.27,77.36842105,1511,2.98,18.31,38.48324515,12.13,29.7,10.3,25.318,0,0,82.107,33.333,0,100,34.187,0.441,0
0214,Vidigueira,0.61,5.9,27.9,35.13,0.077,16.6,127506.9,0.038,39.4,8.7,8.35,19.52957172,28.22,14,100,0,16.65,43.18,576,1,30.0310605,0.0703,7.78414517669532,0,0,4265.1,15.14,55.6,19.1,66.34877,1.97,80,1603.3,0.93,24.07,35.81661891,4.61,22.5,12.6,30.312,0,0,83.656,52.82,0,100,40.245,2.403,0
0301,Amares,1.04,6.5,21.5,39.29,0.055,241.4,336649.9,0.138,39.7,7.5,6.72,24.13523132,16.32,12.3,75.57,2,19.19,35.86,1118,1,26.14153846,0.111,10.0167453189222,0,7.88,272.9,10.9,20,8.9,62.27876,0.03,36.72055427,1344.2,3.99,18.95,21.3274471,21.07,12,15,49.423,0,0,75,100,2.973,33.333,33.94,28.051,0
0302,Barcelos,-0.04,7.4,19.71,36.37,0.054,308.7,319900.9,0.903,39.5,6,5.31,20.74422735,15.24,5.3,75.06,0,16.51,35.92,1347,1,30.31578947,0.0989,12.2759410476,0.371623726,1.59,300.5,11.73,4.8,8.5,61.67537,0.08,25.6512301,1360.9,28.62,31.29,16.48078072,172.71,13.2,13.3,38.072,0,0.003,47.758,100,0,33.333,34.278,7.798,0.124
0303,Braga,0.96,7.8,18.19,53.91,0.14,1109.7,367211.5,1.999,45.6,8.1,7.61,17.63659961,19.52,2.8,43.14,0,17.6,41.65,1671,1.16828479,37.86000376,0.0615,11.4460760478459,0.77202915,4.08,255,10.18,13.4,8.8,75.8106,0.01,43.49963136,1233.3,65.33,24.42,24.20499854,290.78,15.8,13.3,38.931,0,0,67.285,100,0.551,33.333,33.87,11.624,0
0304,Cabeceiras de Basto,-0.14,6.5,22.65,33.32,0.028,64.3,140346.1,0.102,39.3,2.9,8.59,30.2144873,19.54,12.2,75.81,0,18.19,32.19,750,1,22.49622039,0.0306,11.6809116809116,0.214899713,6.36,314.9,15,37.9,9.2,53.99113,0.01,31.92612137,1291.2,4.57,12.09,7.336182336,16.13,15.5,15.2,78.104,0,0,75,100,32.665,33.333,33.333,34.193,0
0305,Celorico de Basto,-0.1,4.8,23.9,30.23,0.018,97.4,183893.5,0.108,39.5,3.8,7.17,31.43373494,21.52,22.8,90.87,2,20.12,29.07,669,1,25.42725294,0.0242,9.10054512416717,0,5.79,435.3,20.12,0,13.1,45.70231,0.08,31.33333333,1208.4,4.79,12.57,7.041187159,20.04,11.7,20.8,67.208,0,0,75,100,17.542,33.333,33.333,23.073,0
0306,Esposende,1.58,8.3,20.04,43.17,0.078,395.4,266009.6,0.307,43.9,6.3,5.17,21.46,18.16,2.6,83.64,0,17.39,42.86,1986,0.909090909,40.89188052,0.0516,10.0813925376742,0.308223976,13.66,182.5,8.06,4.5,6.7,66.66667,0.02,30.85824494,1521.4,9.51,27.96,4.698202917,70.12,11.5,11.3,29.092,4.438,26.916,25,99.999,0,33.333,40.556,2.225,12.608
0307,Fafe,-0.19,6.6,23.07,33.04,0.033,221,236565.6,0.351,40.8,3.8,8.34,25.81947262,19.38,10.5,72.64,0,15.94,37.63,1078,1,24.8130107,0.0655,9.85723626852659,0.823837388,0.69,311.5,11.43,6.9,10.3,59.91189,0.02,37.77267509,1277.1,12.25,20.53,18.65191805,63.85,15.6,13.1,68.393,0,0,75,100,20.665,33.333,33.333,21.046,0
