DICO;Localizacao;pop_risco_pobreza;proporcao_al;txt_esforco_2023;variacao_txt_esforco_2017_2023;prop_fogos_hab_social;aru_oru;prop_drenagem_agua;prop_abast_agua;r_edi_habfa;certificacao_a_c;emicao_co2_transportes;cheias_inu;incendios;inund_galg;movi_massa;nevoes_pon;onda_de_calor;onda_de_fr;seca_ponde;sismo_pord;tsunami_po;ventos_for
0112;Murtosa;27,0765625;6,24;32,03475994;3,899928478;1,731319969;2;94;99;37;31;9,06;19,037;18,082;67,444;0;0;25;66,667;33,333;47,398;55,977;45,906
0113;Oliveira de Azeméis;18,09480813;0,51;25,48240559;3,997369383;0,168050613;0;59;84;15;44;85,38;0;44,224;0;8,448;0,098;40,497;66,667;33,333;35,88;0;46,072
0114;Oliveira do Bairro;19,00483092;1,09;28,17583919;5,773485386;0,044216484;6;98;100;7,3;39;38,33;0;29,334;0;0,202;0;34,74;66,667;33,333;65,251;0,999;33,333
0115;Ovar;18,18360196;7,75;32,83827119;4,923732367;0,933422904;1;92;100;1;39;112,42;4,105;26,149;24,98;0,036;0;25,01;66,658;33,333;56,721;14,206;49,102
0116;São João da Madeira;18,1858006;1,42;32,00901535;4,767166545;6,24688652;1;100;100;36,4;23;29,45;0;13,087;0;0,221;0;50;66,667;33,333;33,333;0;37,825
0117;Sever do Vouga;21,59031657;3,66;20,72812701;-0,326847568;0,264182425;0;64;87;38,1;33;17,95;0;69,484;0;23,449;1,258;50;66,667;33,333;33,434;0;54,741
0118;Vagos;22,72434916;3,93;32,20374876;7,220821688;0,319683361;1;92;100;0;45;33,82;1,512;38,976;12,662;0,121;0;25;66,667;33,333;65,434;7,365;37,892
0119;Vale de Cambra;18,86602871;2,23;29,10658942;7,374645472;0,025150905;0;75;67;13,7;36;25,02;0;70,704;0;27,435;9,248;50;66,667;33,333;34,026;0;70,05
0201;Aljustrel;14,12129964;1,29;27,70829673;3,230501938;0,508733254;0;96;96;0;16;27,71;0;22,519;0;0,061;0;74,05;66,667;86,559;37,508;0;33,333
0202;Almodôvar;22;3,43;29,43675246;1,419223971;0,177085178;3;76;79;27,3;26;28,74;0;41,781;0;3,138;0;59,324;41,107;100;55,725;0;48,271
0203;Alvito;19,35273243;7,48;29,24805532;3,063663729;1,697792869;2;82;77;50;32;1,94;0;21,986;0;0,091;0;75;66,667;99,479;33,995;0;33,994
0204;Barrancos;19,35273243;4,22;29,24805532;3,063663729;0,616808019;1;100;100;100;0;1,42;0;36,336;0;2,835;0;100;33,331;100;32,859;0;35,138
0205;Beja;16,94277286;2,75;33,04315097;7,661167995;1,758338639;3;94;94;6,7;39;34,29;0;22,315;0;0,181;0;75,071;57,072;100;34,727;0;33,333
0206;Castro Verde;13,21020521;2,8;25,35657686;3,09622984;0,99938813;1;95;94;4,8;31;18,11;0;24,675;0;0,038;0;75;59,93;100;33,663;0;33,333
0207;Cuba;19,28484848;6,35;29,5718031;3,335071379;2,009377093;1;100;94;16;20;3,79;0;23,21;0;0,035;0;75;66,667;100;34,476;0;33,333
0208;Ferreira do Alentejo;23,70934256;5,53;29,06763036;0,735551895;0;1;100;99;0;20;23,87;0;21,211;0;0,056;0;72,129;66,667;79,33;43,1;0,257;33,333
0209;Mértola;22,6221374;4,21;31,83692669;2,748664629;0,539052644;0;74;99;36,4;28;5,65;0;31,123;0;1,09;0;57,993;33,848;100;33,259;0,2;33,284
0210;Moura;23,36142626;1,66;27,01039501;1,31847633;0,45045045;0;91;92;57,1;17;11,78;0;28,424;0;1,099;0;100;33,333;100;37,101;0;36,259
0211;Odemira;33,04366812;23,07;44,86490872;6,954216198;0,067805804;0;66;73;33,3;29;20,24;0;38,36;0,504;4,341;0;43,984;53,247;76,333;58,037;1,44;39,745
