DICO;Localizacao;pop_risco_pobreza;proporcao_al;txt_esforco_2023;variacao_txt_esforco_2017_2023;prop_fogos_hab_social;aru_oru;prop_drenagem_agua;prop_abast_agua;r_edi_habfa;certificacao_a_c;emicao_co2_transportes;cheias_inu;incendios;inund_galg;movi_massa;nevoes_pon;onda_de_calor;onda_de_fr;seca_ponde;sismo_pord;tsunami_po;ventos_for
1207;Elvas;22,68258;6,055852;17,15370354;41,68689815;20,87122;100;14,73684211;29,78723;84,6;57,97101449;3,639597802;0;31,64112243;0;0,755662931;0;100;11,23848325;50,00075;8,620931538;0;15,15855772
1208;Fronteira;20,53486;5,82575;12,00424185;34,44930798;32,34685;100;2,105263158;4,255319;0;81,15942029;0,247113459;0;23,68337275;0;0,252493143;0;66,66666667;55,61990733;50,00075;6,471661055;0;8,321185951
1209;Gavião;21,47025;1,976781;12,24688988;34,16414783;1,054607;100;15,78947368;6,382979;100;56,52173913;0,763708406;0;70,82613244;0;5,089825798;0;66,66666667;55,61990733;50,00075;16,22474747;0;8,656728733
1210;Marvão;26,68537;8,691559;14,10761196;34,69390828;0;87,5;30,52631579;53,19149;100;78,26086957;0,255634613;0;66,2361288;0;17,90703166;0,982827262;89,61333333;55,61990733;50,00075;6,057800224;0;46,54693473
1211;Monforte;22,78988;1,286476;12,22910366;37,64179091;25,36246;100;8,421052632;17,02128;66,7;76,8115942;0,23965745;0;31,23749318;0;0,217979692;0;80,68533333;41,92762422;50,00075;6,471661055;0;8,321185951
1212;Nisa;27,25907;3,72346;13,37129823;38,54969336;0,510754;96,875;6,315789474;4,255319;50;72,46376812;0,5805036;0;63,03893033;0;6,633848613;0;69,91733333;55,61990733;50,00075;9,23681257;0;8,279930691
1213;Ponte de Sor;40,15635;5,982638;21,19548554;35,62895209;4,562802;96,875;7,368421053;17,02128;76,9;56,52173913;1,347407439;0;29,80148263;0;0,468656337;0;66,66666667;55,61990733;50,00075;19,3630752;0;8,856129156
1214;Portalegre;12,41083;2,991319;8,122146785;33,69658357;31,74548;93,75;18,94736842;2,12766;88,9;57,97101449;2,99305526;0;56,41599964;0;12,23774318;0,040406441;73,084;48,8829419;50,00075;6,833613917;0;39,70131192
1215;Sousel;31,0516;3,932643;15,85125621;36,97907825;12,97858;93,75;1,052631579;0;50;79,71014493;0,384517064;0;22,15185556;0;0,741130951;0;66,66666667;55,61990733;50,00075;6,471661055;0;8,405071647
1301;Amarante;66,17719;3,001778;20,96246287;42,28575426;7,979842;96,875;24,21052632;17,02128;75,7;24,63768116;9,925013847;0;69,2343551;0;52,09896278;20,95787034;66,01866667;100;0;6,471661055;0;38,24775159
