municipality_code,municipality_name,beneficiarios_rsi,disparidade_ganho,indice_gini,ganho_medio_mensal,per_pop_ensino_sec_cpmpleto,txt_desemprego,agregados_unipessoais,residentes_65_ou_mais_anos,txt_bruta_natalidade,txt_bruta_crescimento_efectivo,a_apoarrend,prop_vagos,prop_edificado_reparacoes_prof_med,ind_env_edif,consumo_energetico,alojamentos_ar_condicionado,prop_sem_aquecimento,prop_pedonal,prop_transporte_colectivo,pop_risco_pobreza,proporcao_al,txt_esforco_2023,variacao_txt_esforco_2017_2023,prop_fogos_hab_social,aru_oru,prop_drenagem_agua,prop_abast_agua,r_edi_habfa,certificacao_a_c,emicao_co2_transportes,cheias_inu,incendios,inund_galg,movi_massa,nevoes_pon,onda_de_calor,onda_de_fr,seca_ponde,sismo_pord,tsunami_po,ventos_for
1505,Grândola,90.85559076505206,72.96587926509187,49.999999999999986,29.865024243218457,34.00044474093841,78.30188679245282,45.50284629981024,53.958785249457705,81.24999999999999,52.77777777777778,98.56865599223676,61.69154228855721,79.18766373168171,97.7136431784108,44.02865205122639,2.444453198865427,74.60502946883754,34.528301886792455,23.809523809523807,71.14587320955526,74.62608513753791,47.38455026175848,16.11274726641539,87.92485692290761,6.25,8.583690987124463,61.702127659574465,85.6,56.52173913043478,95.87895701077926,100,72.58277242132073,92.78957357214874,99.41327133022106,100,76.16266666666667,71.91777174202481,49.99925000374998,31.596520763187435,91.4686544783436,81.47913859017024
1509,Santiago do Cacém,96.98204315678286,82.93963254593176,45.876288659793815,20.980212291966975,46.87569490771626,76.65094339622641,41.06261859582542,50.000000000000014,40.624999999999986,48.26388888888889,99.22367782629792,62.189054726368155,78.49089504131189,85.79373104145603,77.10006511829825,4.19358651118815,74.69254279992134,26.0377358490566,27.083333333333332,87.1059222071738,93.70358749084824,64.19814036809308,37.0483097639545,92.29470042298756,6.25,6.223175965665236,74.46808510638297,90.2,59.42028985507246,97.1720420944996,99.41396043299738,76.15403856649081,98.03095901785184,99.17894316179544,100,72.32000000000001,60.59540927730735,49.99925000374998,47.51543209876543,98.21068112347886,82.52839737066475
1513,Sines,84.94039535234647,50.39370078740157,45.876288659793815,80.45472415148737,51.01178563486769,67.68867924528303,50.28462998102465,67.86876355748373,57.291666666666664,48.26388888888889,98.62930616205723,68.65671641791045,89.30747305972854,98.66287786339387,89.16431517256349,1.1798770879294045,56.88192045127779,35.094339622641506,22.61904761904762,87.31461124840231,84.79238573370985,42.375515979888526,16.412553003063874,61.37601293220211,6.25,9.2274678111588,85.1063829787234,89.2,73.91304347826086,98.11575987388692,100,73.17968892122975,90.03766087420675,99.20800712066992,100,100,88.88933269425361,49.99925000374998,13.91273849607183,90.82847915104678,60.9601474187959
0201,Aljustrel,67.29289271163422,63.77952755905512,70.61855670103091,34.104311361551574,26.884589726484325,77.88915094339622,48.9943074003795,51.220173535791766,63.541666666666664,45.48611111111111,99.80591945657449,44.27860696517413,68.42453524937018,90.82493636902478,79.7655741263295,2.5843050740624016,86.3198389054729,32.83018867924528,31.547619047619047,91.70030125311048,98.6507687480389,79.01764342416757,53.25835827247515,95.19820069359616,0,9.763948497854075,91.48936170212764,100,23.18840579710145,97.08363512419582,100,79.80489357831544,100,99.88919365679098,100,34.6,44.38009266656015,20.161399193004037,87.67115600448933,100,91.67881404879122
0202,Almodôvar,88.96936773804136,85.03937007874016,57.2164948453608,10.804612763726904,23.371136313097622,80.07075471698113,41.63187855787477,40.37418655097614,39.58333333333333,34.375,99.90295972828724,52.73631840796019,77.24662780345756,86.25483769743035,71.73431734317344,1.8614087614245192,85.69120958153886,45.84905660377358,36.30952380952381,64.14672155075661,96.41250915176236,76.22853723602691,57.78959541841536,98.32853960654435,9.375,7.618025751072961,55.319148936170215,72.7,37.68115942028986,96.97392526948148,100,57.904311442605064,100,94.29983106573904,100,54.23466666666666,78.41108803323215,0,62.11419753086419,100,71.13644489672433
0203,Alvito,74.46808510638299,66.40419947506561,NA,20.51500458655485,29.619746497665115,73.23113207547169,47.893738140417454,47.39696312364426,77.08333333333331,63.54166666666667,99.7210092188258,2.4875621890547266,44.398827498580566,74.06122520135283,67.6839591925331,0.4471320516861015,75.93864964314926,45.471698113207545,47.91666666666666,73.40480913507129,92.17655057002403,76.53302658552182,53.67573401698059,83.97497990020989,6.25,8.261802575107296,51.06382978723404,50,46.3768115942029,99.82851178049508,100,80.4109059486993,100,99.83469873390128,100,33.33333333333333,44.38009266656015,0.7814960925195387,92.59960718294052,100,90.76982315245192
0204,Barrancos,72.03862984759317,92.91338582677167,NA,5.477656925697814,35.2901934623082,60.90801886792453,46.33776091081593,54.365509761388296,42.70833333333333,27.083333333333332,99.9878699660359,72.636815920398,95.95134035588453,79.17349464802483,84.95767310614283,0.4589505200126064,84.28698728843244,65.66037735849058,17.261904761904763,73.40480913507129,95.5862357493986,76.53302658552182,53.67573401698059,94.17811142768636,3.125,10.1931330472103,100,0,0,99.88389927996252,100,64.09518828451883,100,94.85022978692486,100,0,88.76417958140277,0,94.19332210998876,100,89.19662256937758
0205,Beja,65.81409385845782,89.501312335958,48.45360824742267,22.67068536233784,58.728040916166336,81.48584905660378,47.70398481973434,65.02169197396964,69.79166666666666,51.21527777777778,98.36244541484716,54.72636815920397,72.97658554320537,71.81932289669119,80.61645322335576,10.337220296249606,86.0902650053127,33.20754716981132,22.61904761904762,81.83297749499168,97.12373182721473,70.40910649993151,42.17425136866998,83.40350431038796,9.375,9.549356223175966,87.2340425531915,93.3,56.52173913043478,96.38277022708876,100,80.03683827542297,100,99.67121396523224,100,33.238666666666674,57.15503009000372,0,91.57267115600447,100,91.67881404879122
0206,Castro Verde,89.11272068809416,48.29396325459318,62.88659793814432,100,40.24905492550589,80.30660377358491,51.34724857685009,55.6941431670282,59.374999999999986,40.625,99.69674915089762,41.293532338308445,86.02902814972232,91.58589309996164,77.13913609724334,2.026867317995588,84.60727517517893,41.509433962264154,31.25,94.88660252696366,97.071436042255,82.81247387793356,53.59426404133328,90.56703843963334,3.125,9.656652360515022,87.2340425531915,95.2,44.927536231884055,98.10617357590218,100,77.35355648535565,100,99.93097309767307,100,33.33333333333333,53.34984289290089,0,93.06537598204264,100,91.67881404879122
0207,Cuba,63.75433831296213,88.97637795275591,57.731958762886585,10.345957279517757,36.24638647987547,76.06132075471699,56.432637571157485,56.42624728850325,63.541666666666664,44.61805555555555,99.46627850557982,32.83582089552238,87.29249062287845,80.07130155852306,77.86846103755155,1.01638827607942,84.54332327808937,31.50943396226415,33.33333333333333,73.64221451176664,93.358435310114,76.01061405222842,52.99675903479757,81.03401840629193,3.125,10.1931330472103,87.2340425531915,84,28.985507246376812,99.6314600996975,100,79.0192377660542,100,99.93642258996204,100,33.33333333333333,44.38009266656015,0,91.92480359147028,100,91.67881404879122
